TradeID,Timestamp,Symbol,Timeframe,Direction,Score,Recommendation,EntryPrice,StopLoss,TakeProfit,RRRatio,ADX_14,ADX_20,ATR_Norm,MA20_Slope,MA50_Slope,MA200_Slope,TrendDuration,HTF_Aligned,RSI_14,MACD_Main,MACD_Signal,Stoch_K,Stoch_D,ROC,Williams_R,ATR_14,HistVol_20,BB_Width,BB_Position,TR_Ratio,Dist_HH50,Dist_LL50,BodyRatio,ConsecBars,PriceMA_Dist,Session,Spread,Hour,DayOfWeek,VolRegime,Executed,ActualEntry,EntryTime,MFE,MAE,ExitPrice,ExitTime,ProfitPips,ProfitCurrency,Outcome,ExitReason
20260105_225746_968,2026.01.05 22:58:13,XAGUSD,15,0,0.630411,2,76.581000,0.000000,0.000000,0.000,18.775971,15.307163,0.005098,-0.016909,0.056215,0.282859,86.000000,1.000000,53.997432,0.016839,0.006599,90.419636,78.143018,0.771753,-22.155689,0.390429,0.364322,0.000000,0.500000,0.676180,-1.734987,2.602714,0.856061,1.000000,0.591830,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225827_562,2026.01.05 22:58:40,XAGUSD,16385,0,0.687070,2,76.581000,0.000000,0.000000,0.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225930_812,2026.01.05 22:59:41,XAGUSD,16385,0,0.702070,2,76.581000,76.081000,77.581000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225957_921,2026.01.05 23:00:09,XAGUSD,16385,1,0.568502,1,76.636000,77.136000,75.636000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230041_531,2026.01.05 23:01:12,EURUSD,16385,0,0.633637,2,1.172010,0.000000,0.000000,0.000,31.815494,27.096296,0.000968,0.084665,0.015137,-0.010040,99.000000,1.000000,56.220426,0.000303,-0.000345,63.220339,81.157981,0.408719,-15.021459,0.001134,0.067854,0.000000,0.500000,0.326196,-0.396093,0.509482,0.513514,-3.000000,0.026299,0.000000,1.400000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230137_546,2026.01.05 23:02:06,XAGUSD,15,0,0.664789,2,76.818000,0.000000,0.000000,0.000,21.800283,16.953953,0.004934,0.081225,0.093895,0.296670,87.000000,1.000000,55.008264,0.038925,0.005313,91.000000,87.579134,0.780335,-10.347985,0.378429,0.364244,0.000000,0.500000,0.443941,-1.646376,2.695237,0.392857,2.000000,0.655598,0.000000,9.600000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230223_484,2026.01.05 23:02:36,XAGUSD,16385,0,0.659881,2,76.665000,0.000000,0.000000,0.000,27.366942,26.699742,0.010675,0.498841,0.455391,0.604294,21.000000,1.000000,60.763373,0.651864,0.701394,34.248410,34.388205,2.412345,-38.942892,0.818429,0.619691,0.000000,0.500000,0.562053,-1.646376,9.336722,0.873913,2.000000,2.345450,0.000000,11.000000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230308_781,2026.01.05 23:03:38,XAGUSD,16388,0,0.677329,2,76.541000,0.000000,0.000000,0.000,31.689560,26.728689,0.020229,1.394164,0.920358,1.971485,99.000000,1.000000,57.830132,0.651555,0.160139,73.325919,76.738846,2.819851,-22.628484,1.548500,1.710263,0.000000,0.500000,1.460123,-9.355346,10.593091,0.462627,-1.000000,4.574147,0.000000,7.000000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230708_062,2026.01.05 23:07:21,XAGUSD,16385,0,0.674881,2,76.579000,76.079000,77.579000,2.000,27.366942,26.699742,0.010685,0.498841,0.455391,0.604294,21.000000,1.000000,60.763373,0.651864,0.701394,34.248410,34.388205,2.412345,-38.942892,0.818429,0.619691,0.000000,0.500000,0.562053,-1.646376,9.336722,0.873913,2.000000,2.345450,0.000000,6.000000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230734_562,2026.01.05 23:07:48,XAGUSD,16385,1,0.546024,1,76.652000,77.152000,75.652000,2.000,27.366942,26.699742,0.010686,0.498841,0.455391,0.604294,21.000000,1.000000,60.763373,0.651864,0.701394,34.248410,34.388205,2.412345,-38.942892,0.818429,0.619691,0.000000,0.500000,0.562053,-1.646376,9.336722,0.873913,2.000000,2.345450,0.000000,6.000000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230846_406,2026.01.05 23:09:18,EURUSD,16385,0,0.627565,2,1.171810,1.166810,1.181810,2.000,31.815494,27.096296,0.000968,0.084665,0.015137,-0.010040,99.000000,1.000000,56.220426,0.000303,-0.000345,63.220339,81.157981,0.408719,-15.021459,0.001134,0.067854,0.000000,0.500000,0.326196,-0.396093,0.509482,0.513514,-3.000000,0.026299,0.000000,1.400000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_230949_218,2026.01.05 23:10:19,EURUSD,16385,1,0.577656,1,1.172000,1.177000,1.162000,2.000,31.815494,27.096296,0.000968,0.084665,0.015137,-0.010040,99.000000,1.000000,56.220426,0.000303,-0.000345,63.220339,81.157981,0.408719,-15.021459,0.001134,0.067854,0.000000,0.500000,0.326196,-0.396093,0.509482,0.513514,-3.000000,0.026299,0.000000,1.300000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_231051_734,2026.01.05 23:11:21,EURUSD,16385,0,0.633637,2,1.171790,0.000000,0.000000,0.000,31.815494,27.096296,0.000968,0.084665,0.015137,-0.010040,99.000000,1.000000,56.220426,0.000303,-0.000345,63.220339,81.157981,0.408719,-15.021459,0.001134,0.067854,0.000000,0.500000,0.326196,-0.396093,0.509482,0.513514,-3.000000,0.026299,0.000000,1.300000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_231136_343,2026.01.05 23:11:51,EURUSD,15,0,0.610859,2,1.171750,0.000000,0.000000,0.000,44.213942,33.856874,0.000255,0.005429,0.020127,-0.008777,27.000000,0.000000,52.692900,0.000407,0.000638,33.908046,36.878796,-0.057143,-98.130841,0.000299,0.016153,0.000000,0.500000,0.735084,-0.089523,0.509482,0.954545,-2.000000,0.071752,0.000000,1.200000,23.000000,1.000000,0.000000,,,,,,,,,,,
20260105_231222_234,2026.01.05 23:12:53,EURUSD,16385,0,0.633637,2,1.171760,0.000000,0.000000,0.000,31.815494,27.096296,0.000968,0.084665,0.015137,-0.010040,99.000000,1.000000,56.220426,0.000303,-0.000345,63.220339,81.157981,0.408719,-15.021459,0.001134,0.067854,0.000000,0.500000,0.326196,-0.396093,0.509482,0.513514,-3.000000,0.026299,0.000000,1.500000,23.000000,1.000000,1.000000,,,,,,,,,,,
20260105_231305_359,2026.01.05 23:13:16,EURUSD,16388,0,0.629373,2,1.171800,0.000000,0.000000,0.000,29.325519,25.806113,0.002112,-0.148616,-0.081180,0.051767,11.000000,0.000000,48.957098,-0.001558,-0.001333,67.029380,38.170462,-0.064765,-35.660377,0.002474,0.139467,0.000000,0.500000,1.002309,-0.684288,0.584961,0.907258,2.000000,-0.100999,0.000000,1.300000,23.000000,1.000000,2.000000,,,,,,,,,,,
